,IIN,NAME,SURNAME,FATHER_NAME,BIRTHDATE,GENDER,FAMILY,ADDRESS,RANK,STATUS,COMMANDER_IIN,HIRE_DATE,CONTRACT_TYPE,REBUKES,SALARY
25,930516109634,Timothy,Bell,Michael,16/05/93,MALE,NOT MARRIED,"Pine St, Providence, ME 96801",PRIVATE,ON MISSION,920221162949,16/05/11,PRACTICANT,0,30501
26,890430064053,Arthur,Martinez,Donald,30/04/89,MALE,MARRIED,"Pine St, Baton Rouge, IL 53703",PRIVATE,FREE,770630478775,30/04/07,PRACTICANT,2,37740
27,890114672458,Wayne,Wood,Steven,14/01/89,MALE,NOT MARRIED,"Maple Ave, Harrisburg, ID 72201",PRIVATE,FREE,770618540041,14/01/07,PRACTICANT,0,10861
28,960115560271,Jason,Edwards,James,15/01/96,MALE,NOT MARRIED,"Pine St, Fargo, CA 25301",PRIVATE,OPERATION,770630478775,15/01/14,PRACTICANT,1,37029
29,770630478775,Austin,Harris,Joe,30/06/77,MALE,NOT MARRIED,"Oak St, Honolulu, PA 97301",STAFF SERGEANT,OPERATION,751014370892,30/06/95,STAFF,2,19636
30,040821618418,Randy,Mitchell,Benjamin,21/08/04,MALE,NOT MARRIED,"Oak St, Des Moines, IL 17101",PRIVATE,FREE,000212072547,21/08/22,PRACTICANT,1,25726
31,800713326458,Kyle,Torres,Kyle,13/07/80,MALE,NOT MARRIED,"Main St, Salem, RI 25301",PRIVATE,OPERATION,771124207456,13/07/98,PRACTICANT,2,27926
32,950920804568,David,Taylor,Louis,20/09/95,MALE,NOT MARRIED,"Oak St, Charleston, ID 53703",PRIVATE,OPERATION,771124207456,20/09/13,PRACTICANT,0,32671
33,830818868904,Kyle,Edwards,Albert,18/08/83,MALE,NOT MARRIED,"Oak St, Portland, NE 50309",PRIVATE,FREE,770630478775,18/08/01,PRACTICANT,1,35314
34,840430151101,Edward,Washington,Gerald,30/04/84,MALE,NOT MARRIED,"Pine St, Harrisburg, IL 92501",PRIVATE,ON MISSION,771124207456,30/04/02,PRACTICANT,1,36735
35,770618540041,Alan,Jones,Terry,18/06/77,MALE,NOT MARRIED,"Pine St, Portland, FL 04330",STAFF SERGEANT,OPERATION,751014370892,18/06/95,STAFF,2,11109
36,820221660075,Michael,White,Victor,21/02/82,MALE,NOT MARRIED,"Cedar Ln, Lincoln, TX 25301",PRIVATE,OPERATION,770618540041,21/02/00,PRACTICANT,2,30741
37,751014370892,Larry,Patterson,Alan,14/10/75,MALE,NOT MARRIED,"Cedar Ln, Honolulu, FL 17101",WARRANT,OPERATION,,14/10/93,STAFF,0,45853
38,820215294426,Charles,Ross,Kyle,15/02/82,MALE,NOT MARRIED,"Maple Ave, Providence, UT 83702",PRIVATE,OPERATION,770630478775,15/02/00,PRACTICANT,1,13460
39,891202838324,William,Ramirez,Jeffrey,02/12/89,MALE,NOT MARRIED,"Main St, Lincoln, FL 32801",PRIVATE,ON MISSION,000212072547,02/12/07,PRACTICANT,2,34584
40,800326663135,Edward,Lopez,Ralph,26/03/80,MALE,NOT MARRIED,"Oak St, Salt Lake City, HI 27601",PRIVATE,ON MISSION,770630478775,26/03/98,PRACTICANT,1,31769
41,760423929352,Jose,Hill,Terry,23/04/76,MALE,NOT MARRIED,"Main St, Little Rock, MD 68102",PRIVATE,FREE,920221162949,23/04/94,PRACTICANT,1,22038
42,950417438895,Bryan,King,Walter,17/04/95,MALE,MARRIED,"Maple Ave, Salem, WI 97201",PRIVATE,ON MISSION,000212072547,17/04/13,PRACTICANT,2,27980
43,971012135709,Justin,Jackson,William,12/10/97,MALE,NOT MARRIED,"Maple Ave, Honolulu, AZ 92501",PRIVATE,ON MISSION,771124207456,12/10/15,PRACTICANT,0,38223
44,771205859313,Christopher,Price,Michael,05/12/77,MALE,NOT MARRIED,"Cedar Ln, Manchester, OR 78701",PRIVATE,ON MISSON,771124207456,05/12/95,STAFF,2,26436
45,010510499461,Daniel,Kelly,Wayne,10/05/01,MALE,NOT MARRIED,"Oak St, Raleigh, LA 32801",PRIVATE,ON MISSION,771124207456,10/05/19,PRACTICANT,2,34762
46,800514577110,Scott,Bell,Carl,14/05/80,MALE,NOT MARRIED,"Main St, Lexington, AZ 29201",PRIVATE,ON MISSION,000212072547,14/05/98,PRACTICANT,1,15913
47,910420678912,Raymond,Edwards,Mark,20/04/91,MALE,NOT MARRIED,"Pine St, Des Moines, LA 40502",PRIVATE,OPERATION,000212072547,20/04/09,PRACTICANT,2,14921
48,030127788380,Timothy,Wilson,Stephen,27/01/03,MALE,MARRIED,"Main St, Denver, MD 21201",PRIVATE,ON MISSION,920221162949,27/01/21,PRACTICANT,0,23785
49,771124207456,Tyler,Clark,Donald,24/11/77,MALE,MARRIED,"Main St, Madison, NC 02901",STAFF SERGEANT,ON MISSION,751014370892,24/11/95,STAFF,1,12981
50,850228824034,Joe,Phillips,Douglas,28/02/85,MALE,NOT MARRIED,"Main St, Honolulu, PA 80202",PRIVATE,ON MISSION,920221162949,28/02/03,PRACTICANT,1,25076
51,980704938653,William,Simmons,Alan,04/07/98,MALE,NOT MARRIED,"Maple Ave, Des Moines, CO 80202",PRIVATE,FREE,920221162949,04/07/16,PRACTICANT,2,13035
52,890619020019,Alan,Brooks,Mark,19/06/89,MALE,NOT MARRIED,"Oak St, Augusta, HI 27601",PRIVATE,ON MJSSION,771124207456,19/06/07,PRACTICANT,1,8057
53,760223895927,Daniel,Green,Albert,23/02/76,MALE,NOT MARRIED,"Pine St, Portland, NE 02901",PRIVATE,ON MISSION,000212072547,23/02/94,PRACTICANT,1,11517
54,880216303811,Joseph,White,Nathan,16/02/88,MALE,MARRIED,"Cedar Ln, Manchester, WV 97301",PRIVATE,ON MISSION,770618540041,16/02/06,PRACTICANT,2,5512
55,860319799782,Ethan,Kelly,Ralph,19/03/86,MALE,NOT MARRIED,"Main St, Springfield, IA 68102",PRIVATE,ON MISSION,000212072547,19/03/04,PRACTICANT,0,29278
