,IIN,NAME,SURNAME,FATHER_NAME,BIRTHDATE,GENDER,FAMILY,ADDRESS,RANK,STATUS,COMMANDER_IIN,HIRE_DATE,CONTRACT_TYPE,REBUKES,SALARY
17,800525604267,Terry,Allen,Roger,25/05/80,MALE,NOT MARRIED,"Maple Ave, Fargo, UT 80202",PRIVATE,ON MISSION,771215431415,25/05/98,CONSCRIPT,2,26746
18,820315601033,Henry,Perry,William,15/03/82,MALE,NOT MARRIED,"Cedar Ln, Austin, KY 27601",PRIVATE,ON MISSION,990127629147,15/03/00,CONSCRIPT,1,36247
19,820921048529,George,Lewis,Matthew,21/09/82,MALE,NOT MARRIED,"Maple Ave, Springfield, AZ 83702",PRIVATE,ON MISSION,920325505979,21/09/00,CONSCRIPT,2,7918
20,780831078879,Jesse,Collins,Gerald,31/08/78,MALE,NOT MARRIED,"Cedar Ln, Providence, TX 32801",PRIVATE,ON MISSION,780831078879,31/08/96,CONSCRIPT,0,16614
21,821218436488,Louis,Moore,Jacob,18/12/82,MALE,MARRIED,"Cedar Ln, Fargo, NH 27601",PRIVATE,ON MISSION,790110399121,18/12/00,CONSCRIPT,2,26586
22,960117844488,Stephen,Davis,Thomas,17/01/96,MALE,NOT MARRIED,"Main St, Lincoln, ID 62701",PRIVATE,ON MISSION,860910051798,17/01/14,CONSCRIPT,0,24618
23,920827359771,Donald,Phillips,Jeremy,27/08/92,MALE,NOT MARRIED,"Oak St, Baltimore, TX 32801",SERGEANT,FREE,830226159286,27/08/10,STAFF,1,14570
24,800423117303,Tyler,White,Isaac,23/04/80,MALE,NOT MARRIED,"Pine St, Columbia, CA 25301",PRIVATE,ON MISSION,900917565424,23/04/98,CONSCRIPT,2,18141
25,760701201005,William,Powell,Joshua,01/07/76,MALE,NOT MARRIED,"Maple Ave, Phoenix, NH 83702",PRIVATE,ON MISSION,860910051798,01/07/94,CONSCRIPT,0,10479
26,000203332379,Keith,White,Michael,03/02/00,MALE,MARRIED,"Pine St, Harrisburg, PA 29201",PRIVATE,ON MISSION,860916132767,03/02/18,CONSCRIPT,2,25546
27,860916132767,Christopher,Foster,Harry,16/09/86,MALE,NOT MARRIED,"Cedar Ln, Raleigh, AZ 53703",SERGEANT,ON MISSION,840414068530,16/09/04,STAFF,2,38063
28,950714788336,Scott,Wright,Philip,14/07/95,MALE,NOT MARRIED,"Cedar Ln, Honolulu, HI 02901",PRIVATE,ON MISSION,750830841679,14/07/13,CONSCRIPT,0,19940
29,900701440355,Michael,Barnes,Justin,01/07/90,MALE,NOT MARRIED,"Main St, Raleigh, FL 27601",PRIVATE,ON MISSION,750830841679,01/07/08,CONSCRIPT,0,19463
30,960616153599,Carl,Lewis,Zachary,16/06/96,MALE,NOT MARRIED,"Main St, Boise, IA 32801",PRIVATE,ON MISSION,960616153599,16/06/14,CONSCRIPT,2,16903
31,990424106002,David,Ross,Thomas,24/04/99,MALE,NOT MARRIED,"Oak St, Riverside, WV 03101",PRIVATE,ON MISSION,760528485214,24/04/17,CONSCRIPT,1,16777
32,891109247343,Noah,Coleman,Billy,09/11/89,MALE,NOT MARRIED,"Cedar Ln, Charleston, IL 68102",PRIVATE,ON MISSION,860916132767,09/11/07,CONSCRIPT,2,9021
33,000512690562,Andrew,Murphy,Charles,12/05/00,MALE,NOT MARRIED,"Oak St, Providence, TX 50309",PRIVATE,ON MISSION,771215431415,12/05/18,CONSCRIPT,1,37394
34,010424906617,Jose,Wilson,Harry,24/04/01,MALE,NOT MARRIED,"Cedar Ln, Springfield, SC 29201",PRIVATE,ON MISSION,760228062032,24/04/19,CONSCRIPT,0,32964
35,920822242020,Keith,Rogers,Douglas,22/08/92,MALE,MARRIED,"Oak St, Riverside, OR 70801",PRIVATE,ON MISSION,900917565424,22/08/10,CONSCRIPT,2,22131
36,760228062032,Joe,Phillips,Isaac,28/02/76,MALE,NOT MARRIED,"Maple Ave, Harrisburg, CA 84101",SERGEANT,FREE,840414068530,28/02/94,STAFF,1,15330
37,960208842441,Anthony,James,Harry,08/02/96,MALE,NOT MARRIED,"Maple Ave, Phoenix, NC 17101",PRIVATE,ON MISSION,990127629147,08/02/14,CONSCRIPT,2,17568
38,040807085550,Zachary,Reed,Wayne,07/08/04,MALE,NOT MARRIED,"Oak St, Charleston, IL 58102",SERGEANT,ON MISSION,780506391022,07/08/22,STAFF,2,37630
39,840811717916,Donald,Wright,Keith,11/08/84,MALE,MARRIED,"Main St, Honolulu, ND 80202",PRIVATE,ON MISSION,920827359771,11/08/02,CONSCRIPT,2,24121
40,950526384970,Jeffrey,Jackson,Christopher,26/05/95,MALE,NOT MARRIED,"Maple Ave, Lexington, ME 29201",PRIVATE,ON MISSION,860910051798,26/05/13,CONSCRIPT,0,10675
41,810915568642,Willie,Scott,Jeffrey,15/09/81,MALE,MARRIED,"Cedar Ln, Springfield, OR 70801",PRIVATE,ON MISSION,970224925765,15/09/99,CONSCRIPT,0,17409
42,900501773314,Timothy,Sanders,Jack,01/05/90,MALE,NOT MARRIED,"Cedar Ln, Charleston, IL 32801",PRIVATE,ON MISSION,951110517913,01/05/08,CONSCRIPT,2,4689
43,910905204034,Kevin,Roberts,Roy,05/09/91,MALE,NOT MARRIED,"Pine St, Denver, WI 78701",PRIVATE,ON MISSION,910905204034,05/09/09,CONSCRIPT,2,10188
44,040619926811,Samuel,Foster,Isaac,19/06/04,MALE,NOT MARRIED,"Main St, Raleigh, OR 17101",PRIVATE,ON MISSION,860916132767,19/06/22,CONSCRIPT,2,30728
45,840516371463,Joe,Patterson,Nathan,16/05/84,MALE,MARRIED,"Cedar Ln, Columbia, FL 53703",PRIVATE,ON MISSION,930407169245,16/05/02,CONSCRIPT,1,23988
46,750924302156,Gabriel,Jones,Jerry,24/09/75,MALE,NOT MARRIED,"Oak St, Fargo, CO 32801",PRIVATE,ON MISSION,930515407672,24/09/93,CONSCRIPT,2,12318
47,981112156057,Dylan,Rivera,Willie,12/11/98,MALE,NOT MARRIED,"Pine St, Phoenix, PA 17101",PRIVATE,ON MISSION,981112156057,12/11/16,CONSCRIPT,0,29454
48,890415100288,Sean,Sanchez,Jerry,15/04/89,MALE,MARRIED,"Main St, Salt Lake City, ME 97201",PRIVATE,ON MISSION,860916132767,15/04/07,CONSCRIPT,2,18605
49,770629886542,Nicholas,King,Keith,29/06/77,MALE,NOT MARRIED,"Cedar Ln, Denver, AZ 03101",PRIVATE,ON MISSION,930407169245,29/06/95,CONSCRIPT,0,10955
50,991231651339,Larry,Henderson,Ronald,31/12/99,MALE,MARRIED,"Cedar Ln, Fargo, ME 27601",PRIVATE,ON MISSION,991231651339,31/12/17,CONSCRIPT,1,11351
51,981115225860,Stephen,Johnson,Carl,15/11/98,MALE,NOT MARRIED,"Cedar Ln, Madison, NH 04330",PRIVATE,ON MISSION,790110399121,15/11/16,CONSCRIPT,1,22043
52,040530856251,John,Ward,Kyle,30/05/04,MALE,MARRIED,"Cedar Ln, Madison, IL 85001",PRIVATE,ON MISSION,920325505979,30/05/22,CONSCRIPT,0,11695
53,970201677294,Jack,Davis,Joshua,01/02/97,MALE,NOT MARRIED,"Cedar Ln, Orlando, ND 17101",PRIVATE,ON MISSION,951110517913,01/02/15,CONSCRIPT,0,16287
54,750623325691,Jeremy,Murphy,Anthony,23/06/75,MALE,NOT MARRIED,"Oak St, Augusta, WI 80202",PRIVATE,ON MISSION,920827359771,23/06/93,CONSCRIPT,0,6100
55,780127695989,Tyler,Bennett,Jason,27/01/78,MALE,MARRIED,"Maple Ave, Salt Lake City, WV 29201",PRIVATE,ON MISSION,860910051798,27/01/96,CONSCRIPT,0,21204
56,981007402888,Gabriel,Roberts,Roger,07/10/98,MALE,MARRIED,"Main St, Manchester, WV 80202",PRIVATE,ON MISSION,860916132767,07/10/16,CONSCRIPT,1,2133
57,811224598585,Justin,Carter,John,24/12/81,MALE,NOT MARRIED,"Pine St, Fargo, LA 50309",PRIVATE,ON MISSION,920827359771,24/12/99,CONSCRIPT,1,39428
58,010718688618,Wayne,Gonzales,William,18/07/01,MALE,NOT MARRIED,"Oak St, Phoenix, NH 97201",PRIVATE,ON MISSION,010718688618,18/07/19,CONSCRIPT,1,19551
59,760528485214,Edward,Evans,Gregory,28/05/76,MALE,NOT MARRIED,"Cedar Ln, Austin, CA 72201",SERGEANT,ON MISSION,920515609759,28/05/94,STAFF,0,13832
60,981207092331,David,Kelly,Martin,07/12/98,MALE,MARRIED,"Main St, Raleigh, TX 83702",PRIVATE,ON MISSION,750830841679,07/12/16,CONSCRIPT,1,8522
61,910627163570,Roger,Lopez,Charles,27/06/91,MALE,NOT MARRIED,"Maple Ave, Madison, FL 29201",PRIVATE,ON MISSION,790110399121,27/06/09,CONSCRIPT,1,24176
62,801230045067,Eric,Wright,Adam,30/12/80,MALE,NOT MARRIED,"Cedar Ln, Charleston, IA 84101",PRIVATE,ON MISSION,801230045067,30/12/98,CONSCRIPT,2,33908
63,001014291737,Joshua,Coleman,Nicholas,14/10/00,MALE,NOT MARRIED,"Maple Ave, Springfield, SC 58102",PRIVATE,ON MISSION,820216530446,14/10/18,CONSCRIPT,0,9459
64,980412818038,Harold,Harris,Johnny,12/04/98,MALE,NOT MARRIED,"Oak St, Little Rock, ME 21201",PRIVATE,ON MISSION,820216530446,12/04/16,CONSCRIPT,1,7214
65,780215551350,Nicholas,Hill,Donald,15/02/78,MALE,MARRIED,"Maple Ave, Charleston, IA 80202",PRIVATE,ON MISSION,921104153941,15/02/96,CONSCRIPT,2,2401
66,030829744178,Alan,Moore,Albert,29/08/03,MALE,NOT MARRIED,"Main St, Boise, WV 50309",PRIVATE,ON MISSION,760528485214,29/08/21,CONSCRIPT,1,33278
67,760831959129,Thomas,Simmons,Roy,31/08/76,MALE,NOT MARRIED,"Maple Ave, Austin, CO 83702",PRIVATE,ON MISSION,820216530446,31/08/94,CONSCRIPT,1,11882
68,770517654442,Patrick,Lopez,Peter,17/05/77,MALE,NOT MARRIED,"Maple Ave, Lexington, ID 25301",PRIVATE,ON MISSION,921104153941,17/05/95,CONSCRIPT,0,19867
69,951110517913,Steven,Rogers,Bobby,10/11/95,MALE,NOT MARRIED,"Oak St, Riverside, MD 58102",SERGEANT,FREE,870319037473,10/11/13,STAFF,0,7832
70,920223945798,Charles,Adams,Russell,23/02/92,MALE,NOT MARRIED,"Cedar Ln, Augusta, IA 27601",PRIVATE,ON MISSION,760528485214,23/02/10,CONSCRIPT,0,29418
71,030906017388,Jacob,Jackson,Nathan,06/09/03,MALE,NOT MARRIED,"Pine St, Orlando, MD 17101",SERGEANT,FREE,840414068530,06/09/21,STAFF,2,37435
72,930805210378,Adam,Torres,Adam,05/08/93,MALE,NOT MARRIED,"Main St, Baton Rouge, SC 29201",PRIVATE,ON MISSION,820216530446,05/08/11,CONSCRIPT,2,12313
73,850207120470,Dylan,Bell,Jeremy,07/02/85,MALE,NOT MARRIED,"Cedar Ln, Columbia, KY 58102",PRIVATE,ON MISSION,970224925765,07/02/03,CONSCRIPT,2,10006
74,761027143878,Wayne,Stewart,Alan,27/10/76,MALE,MARRIED,"Main St, Portland, WV 29201",PRIVATE,ON MISSION,920827359771,27/10/94,CONSCRIPT,1,14095
75,760514936579,Austin,Brooks,Andrew,14/05/76,MALE,NOT MARRIED,"Cedar Ln, Columbia, ND 25301",PRIVATE,ON MISSION,760228062032,14/05/94,CONSCRIPT,1,4315
76,870402038585,Walter,Smith,Joe,02/04/87,MALE,NOT MARRIED,"Cedar Ln, Raleigh, CO 80202",PRIVATE,ON MISSION,921104153941,02/04/05,CONSCRIPT,2,8423
77,900228956505,Henry,Lopez,Alan,28/02/90,MALE,NOT MARRIED,"Cedar Ln, Manchester, NC 27601",PRIVATE,ON MISSION,921104153941,28/02/08,CONSCRIPT,1,25841
78,940317115449,Richard,Anderson,Ronald,17/03/94,MALE,NOT MARRIED,"Pine St, Providence, AZ 80202",PRIVATE,ON MISSION,850407909495,17/03/12,CONSCRIPT,2,8236
79,811219197964,Keith,Lewis,David,19/12/81,MALE,NOT MARRIED,"Pine St, Austin, CA 04330",PRIVATE,ON MISSION,811219197964,19/12/99,CONSCRIPT,2,24551
80,951017536651,Ronald,Adams,Brian,17/10/95,MALE,NOT MARRIED,"Oak St, Boise, NE 02901",PRIVATE,ON MISSION,790110399121,17/10/13,CONSCRIPT,2,27966
81,950401001760,Alan,Lee,Nathan,01/04/95,MALE,MARRIED,"Maple Ave, Orlando, CO 58102",PRIVATE,ON MISSION,970428698534,01/04/13,CONSCRIPT,0,26751
82,840827332244,Donald,Cook,Donald,27/08/84,MALE,NOT MARRIED,"Cedar Ln, Lexington, OR 62701",PRIVATE,ON MISSION,850407909495,27/08/02,CONSCRIPT,2,14547
83,000424642048,Scott,Baker,Steven,24/04/00,MALE,NOT MARRIED,"Oak St, Riverside, OR 27601",PRIVATE,ON MISSION,930407169245,24/04/18,CONSCRIPT,1,33110
84,891115272508,Billy,Bennett,Russell,15/11/89,MALE,MARRIED,"Pine St, Baltimore, IL 40502",PRIVATE,ON MISSION,990127629147,15/11/07,CONSCRIPT,0,23082
85,891202460119,Sean,Cooper,Wayne,02/12/89,MALE,NOT MARRIED,"Main St, Lincoln, LA 53703",PRIVATE,ON MISSION,860910051798,02/12/07,CONSCRIPT,1,18930
86,020102330737,Jack,Hughes,Richard,02/01/02,MALE,NOT MARRIED,"Main St, Riverside, WI 40502",PRIVATE,ON MISSION,820216530446,02/01/20,CONSCRIPT,1,11614
87,900917565424,Charles,Lee,Tyler,17/09/90,MALE,NOT MARRIED,"Main St, Raleigh, ID 53703",SERGEANT,ON MISSION,780506391022,17/09/08,STAFF,1,38814
88,791011436921,Anthony,Lopez,Henry,11/10/79,MALE,MARRIED,"Cedar Ln, Providence, PA 68102",PRIVATE,ON MISSION,791011436921,11/10/97,CONSCRIPT,0,11632
89,011224996973,Kevin,Murphy,Kyle,24/12/01,MALE,NOT MARRIED,"Maple Ave, Riverside, NH 17101",PRIVATE,ON MISSION,760228062032,24/12/19,CONSCRIPT,1,13499
90,991104954773,Jonathan,Jenkins,Frederick,04/11/99,MALE,NOT MARRIED,"Cedar Ln, Harrisburg, OR 83702",PRIVATE,ON MISSION,991104954773,04/11/17,CONSCRIPT,2,21840
91,801015408363,Charles,Cook,Donald,15/10/80,MALE,NOT MARRIED,"Cedar Ln, Providence, IL 96801",PRIVATE,ON MISSION,801015408363,15/10/98,CONSCRIPT,0,4351
92,890827974727,Ryan,Cook,Matthew,27/08/89,MALE,NOT MARRIED,"Cedar Ln, Riverside, IL 84101",PRIVATE,FREE,750830841679,27/08/07,CONSCRIPT,2,20624
93,010205431301,Arthur,Scott,Keith,05/02/01,MALE,NOT MARRIED,"Main St, Austin, LA 02901",PRIVATE,FREE,850407909495,05/02/19,CONSCRIPT,0,25059
94,960101581642,Billy,Flores,Russell,01/01/96,MALE,NOT MARRIED,"Main St, Salem, ME 03101",PRIVATE,ON MISSION,840714896136,01/01/14,CONSCRIPT,1,7678
95,020731289381,Arthur,Wilson,Lawrence,31/07/02,MALE,NOT MARRIED,"Maple Ave, Riverside, SC 97201",PRIVATE,FREE,970224925765,31/07/20,CONSCRIPT,2,11237
96,041124664321,Douglas,Wood,Zachary,24/11/04,MALE,NOT MARRIED,"Maple Ave, Austin, AZ 97201",PRIVATE,ON MISSION,750830841679,24/11/22,CONSCRIPT,2,28010
97,800817051658,Walter,Smith,Samuel,17/08/80,MALE,NOT MARRIED,"Oak St, Manchester, HI 68102",PRIVATE,ON MISSION,930407169245,17/08/98,CONSCRIPT,1,15798
98,910317196614,Nathan,Taylor,Harold,17/03/91,MALE,NOT MARRIED,"Pine St, Phoenix, KY 68102",PRIVATE,ON MISSION,840714896136,17/03/09,CONSCRIPT,2,38158
99,830226159286,Larry,Gonzalez,Thomas,26/02/83,MALE,NOT MARRIED,"Oak St, Manchester, SC 21201",LIEUTENANT,ON MISSION,901022902797,26/02/01,STAFF,1,15115
100,861021600123,Ryan,Hernandez,Philip,21/10/86,MALE,NOT MARRIED,"Pine St, Des Moines, OR 32801",PRIVATE,ON MISSION,751109098652,21/10/04,CONSCRIPT,1,20760
101,871011915933,Lawrence,Johnson,Tyler,11/10/87,MALE,NOT MARRIED,"Main St, Providence, IA 27601",PRIVATE,ON MISSION,951110517913,11/10/05,CONSCRIPT,1,13675
102,981029211036,Bryan,Allen,Arthur,29/10/98,MALE,NOT MARRIED,"Main St, Salt Lake City, FL 58102",PRIVATE,ON MISSION,981029211036,29/10/16,CONSCRIPT,0,26599
103,821224473351,Timothy,White,Nathan,24/12/82,MALE,MARRIED,"Pine St, Madison, ME 85001",PRIVATE,ON MISSION,751109098652,24/12/00,CONSCRIPT,1,5456
104,871226322875,Christian,Ross,Gerald,26/12/87,MALE,NOT MARRIED,"Cedar Ln, Madison, CO 25301",PRIVATE,ON MISSION,790110399121,26/12/05,CONSCRIPT,1,39604
105,010819091506,Jack,Washington,Daniel,19/08/01,MALE,NOT MARRIED,"Pine St, Austin, SC 83702",PRIVATE,ON MISSION,930515407672,19/08/19,CONSCRIPT,1,32613
106,930306120066,Douglas,Peterson,David,06/03/93,MALE,NOT MARRIED,"Oak St, Riverside, SC 72201",PRIVATE,ON MISSION,771215431415,06/03/11,CONSCRIPT,1,15078
107,870418872980,Larry,Coleman,Jeremy,18/04/87,MALE,NOT MARRIED,"Oak St, Honolulu, TX 62701",PRIVATE,ON MISSION,751109098652,18/04/05,CONSCRIPT,1,39435
108,941202060481,Randy,Watson,Frank,02/12/94,MALE,NOT MARRIED,"Main St, Orlando, WV 85001",PRIVATE,ON MISSION,821003508215,02/12/12,CONSCRIPT,1,28549
109,950910388423,Jeremy,Simmons,Anthony,10/09/95,MALE,NOT MARRIED,"Main St, Salem, NC 27601",PRIVATE,ON MISSION,930407169245,10/09/13,CONSCRIPT,1,9934
110,790111697782,Keith,Perez,George,11/01/79,MALE,MARRIED,"Oak St, Salem, AR 70801",PRIVATE,ON MISSION,760228062032,11/01/97,CONSCRIPT,1,20870
111,900820105129,Steven,Gray,Peter,20/08/90,MALE,NOT MARRIED,"Maple Ave, Charleston, IL 84101",PRIVATE,ON MISSION,930515407672,20/08/08,CONSCRIPT,1,17422
112,970224925765,Gregory,Howard,Jack,24/02/97,MALE,MARRIED,"Oak St, Baton Rouge, PA 96801",SERGEANT,FREE,780506391022,24/02/15,STAFF,2,16573
113,971012820795,Larry,Martinez,Brian,12/10/97,MALE,MARRIED,"Main St, Orlando, AR 96801",PRIVATE,ON MISSION,971012820795,12/10/15,CONSCRIPT,2,35019
114,980505256784,Juan,Howard,Frederick,05/05/98,MALE,NOT MARRIED,"Maple Ave, Phoenix, FL 78701",PRIVATE,ON MISSION,920325505979,05/05/16,CONSCRIPT,2,34633
115,811107809611,Kenneth,Baker,Willie,07/11/81,MALE,MARRIED,"Pine St, Portland, NE 78701",PRIVATE,ON MISSION,921104153941,07/11/99,CONSCRIPT,1,2819
116,870716470727,William,Stewart,Raymond,16/07/87,MALE,NOT MARRIED,"Main St, Des Moines, TX 53703",PRIVATE,FREE,860910051798,16/07/05,CONSCRIPT,2,16813
117,031024507381,Andrew,Thompson,Raymond,24/10/03,MALE,NOT MARRIED,"Oak St, Lincoln, WV 85001",PRIVATE,ON MISSION,920827359771,24/10/21,CONSCRIPT,2,29854
118,990118557449,Joe,Flores,Brian,18/01/99,MALE,NOT MARRIED,"Cedar Ln, Salem, AZ 97201",PRIVATE,FREE,970414675684,18/01/17,CONSCRIPT,0,32429
119,830313062417,Louis,Davis,Russell,13/03/83,MALE,NOT MARRIED,"Maple Ave, Madison, HI 25301",PRIVATE,FREE,860910051798,13/03/01,CONSCRIPT,1,25011
120,020416824866,Patrick,Mitchell,Gary,16/04/02,MALE,MARRIED,"Cedar Ln, Lincoln, NH 58102",PRIVATE,FREE,020416824866,16/04/20,CONSCRIPT,0,28879
121,911110408161,Jacob,Perry,Christopher,10/11/91,MALE,NOT MARRIED,"Oak St, Springfield, SC 68102",PRIVATE,FREE,911110408161,10/11/09,CONSCRIPT,0,33954
122,870222941448,Jason,Hall,Gregory,22/02/87,MALE,MARRIED,"Main St, Des Moines, NC 68102",PRIVATE,ON MISSION,870222941448,22/02/05,CONSCRIPT,1,17187
123,921101776819,Walter,Watson,Douglas,01/11/92,MALE,MARRIED,"Maple Ave, Orlando, ID 29201",PRIVATE,FREE,760528485214,01/11/10,CONSCRIPT,1,31295
124,990925842039,Billy,Patterson,Andrew,25/09/99,MALE,MARRIED,"Oak St, Manchester, OR 21201",PRIVATE,FREE,840714896136,25/09/17,CONSCRIPT,1,16021
125,941113300920,Jeffrey,Richardson,George,13/11/94,MALE,NOT MARRIED,"Maple Ave, Augusta, AZ 32801",PRIVATE,FREE,980812484094,13/11/12,CONSCRIPT,0,15812
126,860313856022,Wayne,Campbell,Howard,13/03/86,MALE,NOT MARRIED,"Pine St, Charleston, RI 62701",PRIVATE,FREE,850407909495,13/03/04,CONSCRIPT,0,3122
127,850501233628,Charles,Watson,Jacob,01/05/85,MALE,MARRIED,"Cedar Ln, Augusta, FL 29201",PRIVATE,FREE,900917565424,01/05/03,CONSCRIPT,1,18274
128,850327002505,George,Brooks,Robert,27/03/85,MALE,MARRIED,"Maple Ave, Phoenix, UT 80202",PRIVATE,FREE,751109098652,27/03/03,CONSCRIPT,0,16947
129,850407909495,Thomas,Cook,Roger,07/04/85,MALE,NOT MARRIED,"Pine St, Honolulu, HI 97201",SERGEANT,FREE,920515609759,07/04/03,STAFF,0,25678
130,040923147427,Sean,Reed,Willie,23/09/04,MALE,NOT MARRIED,"Oak St, Little Rock, LA 03101",PRIVATE,FREE,861230558075,23/09/22,CONSCRIPT,1,26016
131,780701920326,Jordan,Gonzalez,Ralph,01/07/78,MALE,NOT MARRIED,"Cedar Ln, Boise, AR 85001",PRIVATE,FREE,790110399121,01/07/96,CONSCRIPT,0,19589
132,041204892004,Lawrence,Nelson,Adam,04/12/04,MALE,NOT MARRIED,"Oak St, Augusta, IL 17101",PRIVATE,FREE,840714896136,04/12/22,CONSCRIPT,0,36627
133,850910118297,Kenneth,Jones,Gerald,10/09/85,MALE,MARRIED,"Maple Ave, Baton Rouge, UT 97201",PRIVATE,FREE,930407169245,10/09/03,CONSCRIPT,2,18953
134,000409236118,Ethan,Ross,Donald,09/04/00,MALE,MARRIED,"Oak St, Harrisburg, CO 84101",PRIVATE,FREE,820216530446,09/04/18,CONSCRIPT,0,9062
135,860812646499,Christian,Nelson,Kyle,12/08/86,MALE,NOT MARRIED,"Oak St, Little Rock, MD 78701",PRIVATE,FREE,920325505979,12/08/04,CONSCRIPT,0,26964
136,870213460187,Albert,Martinez,Brandon,13/02/87,MALE,NOT MARRIED,"Oak St, Fargo, WI 72201",PRIVATE,FREE,920325505979,13/02/05,CONSCRIPT,0,32501
137,990726467818,Henry,Garcia,Peter,26/07/99,MALE,NOT MARRIED,"Oak St, Austin, CA 62701",PRIVATE,FREE,920325505979,26/07/17,CONSCRIPT,1,10087
138,031128329927,Charles,Wright,Frederick,28/11/03,MALE,MARRIED,"Oak St, Charleston, CA 70801",PRIVATE,FREE,031128329927,28/11/21,CONSCRIPT,0,5242
139,980308306322,John,Cook,Lawrence,08/03/98,MALE,NOT MARRIED,"Pine St, Portland, MD 62701",PRIVATE,FREE,980812484094,08/03/16,CONSCRIPT,1,19009
140,970503574566,Eugene,Walker,Louis,03/05/97,MALE,MARRIED,"Oak St, Springfield, OR 03101",PRIVATE,FREE,970503574566,03/05/15,CONSCRIPT,0,18751
141,880826942757,Joshua,Barnes,Matthew,26/08/88,MALE,NOT MARRIED,"Main St, Des Moines, WV 96801",PRIVATE,FREE,821003508215,26/08/06,CONSCRIPT,2,10360
142,000205600056,Jordan,Clark,Larry,05/02/00,MALE,MARRIED,"Main St, Harrisburg, ID 25301",PRIVATE,FREE,930515407672,05/02/18,CONSCRIPT,0,27636
143,960822034747,Keith,Watson,Joseph,22/08/96,MALE,NOT MARRIED,"Maple Ave, Columbia, NC 32801",PRIVATE,FREE,861230558075,22/08/14,CONSCRIPT,2,21148
144,011217136201,Brandon,Bell,Walter,17/12/01,MALE,NOT MARRIED,"Cedar Ln, Augusta, WI 17101",SERGEANT,FREE,870319037473,17/12/19,STAFF,1,26627
